CommonName,ScientificName,Type
American Bullfrog,Lithobates catesbeianus,Frog
Atlantic Coast Leopard Frog,Lithobates kauffeldi,Frog
Green Frog,Lithobates clamitans,Frog
Pickerel Frog,Lithobates palustris,Frog
Southern Leopard Frog,Lithobates sphenocephalus,Frog
Wood Frog,Lithobates sylvaticus,Frog
Carpenter Frog,Lithobates virgatipes,Frog
Barking Treefrog,Hyla gratiosa,Frog
Pine Woods Treefrog,Hyla femoralis,Frog
Green Treefrog,Hyla cinerea,Frog
Squirrel Treefrog,Hyla squirella,Frog
Gray Treefrog,Hyla versicolor,Frog
Cope's Gray Treefrog,Hyla chrysoscelis,Frog
Eastern Cricket Frog,Acris crepitans,Frog
Southern Cricket Frog,Acris gryllus,Frog
Spring Peeper,Pseudacris crucifer,Frog
Little Grass Frog,Pseudacris ocularis,Frog
Mountain Chorus Frog,Pseudacris brachyphona,Frog
Brimley's Chorus Frog,Pseudacris brimleyi,Frog
Upland Chorus Frog,Pseudacris feriarum,Frog
New Jersey Chorus Frog,Pseudacris kalmi,Frog
Southern Chorus Frog,Pseudacris nigrita,Frog
American Toad,Anaxyrus americanus americanus,Frog
Fowler's Toad,Anaxyrus fowleri,Frog
Southern Toad,Anaxyrus terrestris,Frog
Oak Toad,Anaxyrus quercicus,Frog
Eastern Narrow-mouthed Toad,Gastrophryne carolinensis,Frog
Eastern Spadefoot,Scaphiopus holbrookii,Frog
 Virginia Big-eared Bat,Corynorhinus townsendii virginianus,Bat
Big Brown Bat,Eptesicus fuscus,Bat
Gray Bat,Myotis grisescens,Bat
Eastern Small-footed Bat,Myotis leibii,Bat
Little Brown Bat,Myotis lucifugus,Bat
Northern Long-eared Bat,Myotis septentrionalis,Bat
Indiana Bat,Myotis sodalis,Bat
Eastern Pipistrelle Bat,Perimyotis subflavus,Bat
Southeastern Big-eared Bat ,Corynorhinus rafinesquii macrotis,Bat
Silver-haired Bat,Lasionycteris noctivagans,Bat
Eastern Red Bat,Lasiurus borealis,Bat
Hoary Bat,Lasiurus cinereus,Bat
